investor_name,issuer,rank,cusip,value,weight
"Capital Research Global Investors","MCGRATH RENTCORP",311,580589109,55949743,0.0138
"Capital Research Global Investors","EURONET WORLDWIDE INC",312,298736109,54238692,0.0133
"Capital Research Global Investors","ALCOA CORP",313,013872106,54153228,0.0133
"Capital Research Global Investors","EASTMAN CHEM CO",314,277432100,54047029,0.0133
"Capital Research Global Investors","ENBRIDGE INC",315,29250N105,53715769,0.0132
"Capital Research Global Investors","COMFORT SYS USA INC",316,199908104,52701703,0.0130
"Capital Research Global Investors","ENCOMPASS HEALTH CORP",317,29261A100,52565285,0.0129
"Capital Research Global Investors","GRIFOLS S A",318,398438408,50068926,0.0123
"Capital Research Global Investors","GLACIER BANCORP INC NEW",319,37637Q105,49621519,0.0122
"Capital Research Global Investors","APPLIED DIGITAL CORP",320,038169207,49453321,0.0122
"Capital Research Global Investors","ENSTAR GROUP LIMITED",321,G3075P101,48855624,0.0120
"Capital Research Global Investors","CBIZ INC",322,124805102,47830840,0.0118
"Capital Research Global Investors","STATE STR CORP",323,857477103,46680757,0.0115
"Capital Research Global Investors","KENVUE INC",324,49177J102,45979662,0.0113
"Capital Research Global Investors","HELMERICH & PAYNE INC",325,423452101,45103607,0.0111
"Capital Research Global Investors","ON HLDG AG",326,H5919C104,44631871,0.0110
"Capital Research Global Investors","BRIDGEBIO PHARMA INC",327,10806X102,44411441,0.0109
"Capital Research Global Investors","IHS HOLDING LIMITED",328,G4701H109,43772841,0.0108
"Capital Research Global Investors","RH",329,74967X103,43722000,0.0108
"Capital Research Global Investors","PFIZER INC",330,717081103,43353853,0.0107
"Capital Research Global Investors","CAMPING WORLD HLDGS INC",331,13462K109,43216528,0.0106
"Capital Research Global Investors","ASPEN TECHNOLOGY INC",332,29109X106,42311069,0.0104
"Capital Research Global Investors","MARQETA INC",333,57142B104,41414253,0.0102
"Capital Research Global Investors","IMMUNOVANT INC",334,45258J102,41128865,0.0101
"Capital Research Global Investors","AVIDXCHANGE HOLDINGS INC",335,05368X102,41018768,0.0101
"Capital Research Global Investors","API GROUP CORP",336,00187Y100,40277860,0.0099
"Capital Research Global Investors","INSTALLED BLDG PRODS INC",337,45780R101,39902110,0.0098
